siteID,year,month,alpha
DSNY,2016,4,4
DSNY,2016,6,1
DSNY,2016,11,3
DSNY,2016,12,3
DSNY,2017,4,4
DSNY,2017,5,4
DSNY,2017,9,2
DSNY,2017,10,5
DSNY,2018,4,3
DSNY,2018,6,4
DSNY,2018,10,4
DSNY,2018,11,2
DSNY,2019,4,3
DSNY,2019,6,3
DSNY,2019,10,2
HARV,2016,5,5
HARV,2016,6,7
HARV,2016,7,5
HARV,2016,8,6
HARV,2016,9,5
HARV,2017,5,7
HARV,2017,6,6
HARV,2017,7,6
HARV,2017,8,9
HARV,2017,9,8
HARV,2017,10,7
HARV,2018,5,6
HARV,2018,6,7
HARV,2018,7,10
HARV,2018,8,7
HARV,2018,9,8
HARV,2018,10,8
HARV,2019,5,5
HARV,2019,6,7
HARV,2019,7,4
HARV,2019,8,7
HARV,2019,9,9
HARV,2019,10,5
SCBI,2016,3,2
SCBI,2016,4,5
SCBI,2016,5,3
SCBI,2016,6,5
SCBI,2016,7,5
SCBI,2016,9,9
SCBI,2017,3,7
SCBI,2017,4,6
SCBI,2017,5,6
SCBI,2017,6,6
SCBI,2017,8,6
SCBI,2017,9,4
SCBI,2018,4,1
SCBI,2018,5,4
SCBI,2018,6,3
SCBI,2018,8,4
SCBI,2018,9,6
SCBI,2018,10,5
SCBI,2019,3,4
SCBI,2019,4,3
SCBI,2019,5,9
SCBI,2019,6,5
SCBI,2019,8,6
SCBI,2019,9,6
